sym,tick,px,tick_bp,adv_hr,ladv
DODOUSDT,0.0009999999999998899,1.26,7.936507936507063,2503181.2685194137,6.3984923002943
DODOXUSDT,2.000000000002e-06,0.0870205,0.2298309019141467,306876.14842355775,5.486963134731665
DOGEUSDT,1.9999999999998318e-06,0.10171,0.1966374987709991,40588102.95169975,7.608398753291613
DOGSUSDT,1.0000000000001598e-08,0.0001248,0.8012820512821793,2694642.357331769,6.430501132215034
DOLOUSDT,9.00000000000043e-06,0.03708,2.427184466019533,789514.5700449616,5.89736014907736
DOODUSDT,7.000000000001796e-07,0.003262,2.1459227467816664,437503.8046627107,5.640981834128243
DOTECOUSDT,0.22000000000002728,1340.8,1.640811455847459,872394.40391148,5.9407128710765855
DOTUSDT,0.0009999999999994458,5.763,1.7352073572782332,11527379.319735223,7.06173058428139
DRAMUSDT,0.00999999999999801,57.85,1.72860847018116,6987475.6721942695,6.844320308844365
DRIFTUSDT,9.999999999999593e-06,0.4358,0.22946305644790252,887862.8391146032,5.948345879273419
DUSDT,2.0000000000002655e-06,0.02038,0.9813542688911999,390767.00207942986,5.59191788304091
DUSKUSDT,1.0000000000003062e-05,0.13294,0.7522190461864798,906329.5736421875,5.957286151304942
DYDXUSDT,0.00010000000000000286,1.596,0.6265664160401181,5353713.212206582,6.728655103180376
DYMUSDT,9.999999999999593e-06,0.2903,0.3444712366517255,1067831.7955906873,6.028502848198234
EBAYUSDT,0.009999999999990905,109.71,0.9114939385644796,20701.950008071748,4.3160112554983865
EDENUSDT,9.999999999996123e-06,0.04596,2.1758050478668673,1324073.3352741217,6.121912039652672
EDGEUSDT,9.999999999998899e-05,0.4447,2.2487069934785024,1540667.210314257,6.187708839670793
EDUUSDT,1.9999999999999185e-05,0.4309,0.46414481318169376,1042769.3173352716,6.018188243911689
EGLDUSDT,0.001000000000000334,36.9,0.2710027100271908,1841465.556224812,6.265163599986263
EIGENUSDT,9.999999999998899e-05,1.0467499999999998,0.9553379507999904,3004776.3731985395,6.477812155706544
ELSAUSDT,9.999999999996123e-06,0.06528,1.5318627450974454,294715.5489967431,5.469403049542982
ENAUSDT,3.0000000000002247e-05,0.3437,0.8728542333430971,14570565.59842107,7.163476410486918
ENJUSDT,9.999999999999593e-06,0.2892,0.3457814661134022,1962995.9270735795,6.292919398504079
ENSOUSDT,9.999999999998899e-05,0.8582,1.1652295502212653,1900818.7288778808,6.2789407024510595
ENSUSDT,0.001000000000000334,14.613,0.6843221788820462,2847649.8565543075,6.454486587944159
EOSUSDT,0.0009999999999998899,1.195,8.368200836819161,8735155.476440102,6.941270639365783
EPICUSDT,9.999999999998899e-05,0.7126,1.403311815885335,731807.1689709278,5.864396659631683
EPTUSDT,9.999999999999159e-07,0.001956,5.112474437627382,242874.39149493634,5.385381725514283
ERAUSDT,3.0000000000002247e-05,0.1594,1.8820577164367784,980328.5305214002,5.99137164210312
ESPORTSUSDT,9.999999999999593e-06,0.228315,0.4379913715699622,1346519.386641077,6.129212610588697
ESPUSDT,9.999999999996123e-06,0.072005,1.388792444968561,1205423.732008131,6.0811397374709655
ETCUSDT,0.001000000000000334,18.904,0.5289885738469816,10498660.1171751,7.0211338761320174
ETHFIUSDT,9.999999999998899e-05,1.1056,0.904486251808873,3956071.0558859897,6.5972640834565
ETHUSDT,0.03999999999996362,2066.455,0.19356821222801182,324385783.6536571,8.511061812813907
ETHWUSDT,9.999999999998899e-05,1.69095,0.5913835417959667,348161.1332733871,5.5417802873240065
EULUSDT,0.00019999999999997797,1.3243,1.5102318205842933,604100.7677953851,5.781109387706104
EVAAUSDT,9.999999999998899e-05,0.7915,1.2634238787111687,2021461.7720528357,6.305665532786444
EWJUSDT,0.009999999999990905,92.21,1.084481075804241,35098.74681790481,4.545291610489051
